MATERIA,DATA,VOTO,TIPO,MESE,Q,A
Educazione civica,16 Jan 25,8.15,Scritto,Jan,1,5
Storia,17 Jan 25,6,Scritto,Jan,1,5
Economia aziendale,21 Jan 25,3.5,Orale,Jan,1,5
Educazione fisica,22 Jan 25,7,Pratico,Jan,1,5
Educazione civica,22 Jan 25,7,Pratico,Jan,1,5
Inglese,24 Jan 25,9,Scritto,Jan,1,5
Economia aziendale,30 Jan 25,6,Orale,Jan,1,5
Inglese,17 Feb 25,9,Orale,Feb,2,5
Diritto,25 Feb 25,4.5,Orale,Feb,2,5
Matematica,26 Feb 25,7,Orale,Feb,2,5
Italiano,5 Mar 25,5,Scritto,Mar,2,5
Educazione fisica,5 Mar 25,8.15,Pratico,Mar,2,5
Economia aziendale,5 Mar 25,6,Scritto,Mar,2,5
Diritto,11 Mar 25,5.5,Orale,Mar,2,5
Informatica,12 Mar 25,6.5,Scritto,Mar,2,5
Storia,18 Mar 25,6.15,Scritto,Mar,2,5
Economia politica,18 Mar 25,5.85,Orale,Mar,2,5
Inglese,31 Mar 25,7.5,Scritto,Mar,2,5
Informatica,31 Mar 25,7.15,Orale,Mar,2,5
Italiano,1 Apr 25,6.85,Scritto,Apr,2,5
Economia politica,1 Apr 25,6.5,Orale,Apr,2,5
Italiano,3 Apr 25,7.15,Scritto,Apr,2,5
Matematica,7 Apr 25,3,Scritto,Apr,2,5
Economia aziendale,8 Apr 25,5,Orale,Apr,2,5
Educazione fisica,9 Apr 25,9.15,Orale,Apr,2,5
Informatica,16 Apr 25,6.5,Scritto,Apr,2,5
Economia aziendale,29 Apr 25,5.85,Orale,Apr,2,5
Italiano,30 Apr 25,6.5,Scritto,Apr,2,5
Educazione fisica,30 Apr 25,7.15,Pratico,Apr,2,5
Matematica,5 May 25,5,Orale,May,2,5
Inglese,12 May 25,10,Orale,May,2,5
Matematica,14 May 25,7,Orale,May,2,5
Educazione civica,4 May 25,9.5,Scritto,May,2,5
Italiano,7 May 25,7,Scritto,May,2,5
Informatica,21 May 25,5,Orale,May,2,5
Italiano,23 May 25,7,Scritto,May,2,5
Inglese,23 May 25,9.15,Scritto,May,2,5
Diritto,27 May 25,5.5,Orale,May,2,5
Economia aziendale,27 May 25,5.85,Orale,May,2,5
Storia,22 May 25,9,Scritto,May,2,5
